file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0022_0099_794618_to_802110,ད་ག་ནང་བཞིན་བཀའ་བརྒྱུད་སྨོན་ལམ་ཧ་གོ་ཡི་ཡོད་བ། འོ་འོ། བཀའ་རྒྱུད་སྨོན་ལམ་འོ་འོ། བཀའ་རྒྱུད་སྨོན་ལམ་སྔོན་མ་ལོ་ལྟར་ཚོགས་ཀི་རེད་རཱ། འོ་ཧཱོ། ཨ་ནི་འོ་དེ་དུས་ཙམ་པ་བཀའ་རྒྱུད་སྨོན་ལམ་ལ་ཡོང་མྱོང་ཡོད་རཱ།  ,da ga nang bzhin bka' brgyud smon lam ha go yi yod ba/_'o 'o/_bka' rgyud smon lam 'o 'o/_bka' rgyud smon lam sngon ma lo ltar tshogs ki red rA/_'o hA+o/_a ni 'o de dus tsam pa bka' rgyud smon lam la yong myong yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0099_794618_to_802110.wav,STT_NS,3,192,7.492,wav16k/STT_NS0022_0099_794618_to_802110.wav,དེ་ག་ནང་བཞིན་བཀའ་བརྒྱུད་སྨོན་ལམ་ཧག་གོ་ཡོད་བ ཨ། བའ་རྒྱུད་སྨོན་ལམ་་བ་རྒྱུ་སོན་ལམ་། བཀའ་རྒྱུད་སྨོན་ལམ་སྔོན་མ་ལོ་ལྟར་ཚུགས་དགོས་རེད་རེད་།  ཨོ་ནས་ཨོ་དེ་དུས་ཙམ་པ་བཀའ་རྒྱུད་སྨོན་ལམ་ལ་ཡ་ཡོང་མྱོང་ཡོད་རེད་ད།
STT_NS0022_0100_804827_to_813673,མཉམ་དུ་ཨ་ད་འདི་ཕལ་ཆེར་ག་ཚོད་ཡིན་ན་དུས་འཁོར་དབང་ཆེན་གི་འདི་རེད་ལྟ། འདི་དྲན་པ་མིན་འདུག་གདའ་ཡ་ད་གང་ལྟར་དུས་འཁོར་དབང་ཆེན་ཐེངས་མ་གཉིས་སླེབས་མྱོང་བྱས་ཐ།  ,mnyam du a da 'di phal cher ga tshod yin na dus 'khor dbang chen gi 'di red lta/_'di dran pa min 'dug gda' ya da gang ltar dus 'khor dbang chen thengs ma gnyis slebs myong byas tha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0100_804827_to_813673.wav,STT_NS,3,148,8.846,wav16k/STT_NS0022_0100_804827_to_813673.wav,མཉམ་དུ་ཨདེ་དུས་ཕལ་ཆེར་ག་ཚོད་ཡིན་ན། དུས་འཁོར་དབང་ཆེ་གི་རེད་ད། དེ་དྲན་པ་མི་འདུག་ད་ཡད་བ། ད་གང་ལྟར་དུས་འཁོར་དེ་ཐེངས་མ་གཉིས་སི་སླེབས་མྱིང་བྱས་ད།
STT_NS0022_0101_813673_to_822519,རྡོ་རྗེ་གདན་ལ་དཔེ་མང་པོ་སླེབས་མྱོང་ཡོད། ད་ང་རྡོ་རྗེ་གདན་ལ་གནས་མཇལ་གང་ཚང་མཇལ་ཡ་རག་སོང་། འོ་ཧཱོ། འོ་བྱ་རྒོད་ཕུང་པོ་རི་དང་དེ་ནི་ཨ་ས་ཆ་གཞན་འདི་མིང་ག་རེ།  ,rdo rje gdan la dpe mang po slebs myong yod/_da nga rdo rje gdan la gnas mjal gang tshang mjal ya rag song /_'o hA+o/_'o bya rgod phung po ri dang de ni a sa cha gzhan 'di ming ga re/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0101_813673_to_822519.wav,STT_NS,3,150,8.846,wav16k/STT_NS0022_0101_813673_to_822519.wav,རྡོ་རྗེ་གདན་ལ་དཔེ་མང་པོ་སླེབས་མྱོང་ཡོད། ད་ང་རྡོ་རྗེ་གདན་ལ་གནས་མཇལ་གང་ཚང་མཇལ་ཡ་རག་སོང་། བྱ་རྒོད་ཕུང་པོའི་རི་དང་དེ་ནི་ཨ་ས་ཆ་དེའི་མིང་ག་རེ་རེད།
STT_NS0022_0116_944316_to_952872,ཨེ་ དངུལ་མང་པོ་ཞིག་བཀོག་གཅིག་གི་འདུག་བ་ཐ། དངོས་ནས་དོ་སྣང་མང་པོ་བྱུང་སོང་ དམིགས་བསལ་གྱི་ཐ་སྙིང་རྗེ་མི་ག་རེ་ལབ་གོ་རེད་ ང་ཚོ་དངུལ་སློང་སྡོད་མཁན་དང་ཨ་ནི།  ,e _dngul mang po zhig bkog gcig gi 'dug ba tha/_dngos nas do snang mang po byung song _dmigs bsal gyi tha snying rje mi ga re lab go red _nga tsho dngul slong sdod mkhan dang a ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0116_944316_to_952872.wav,STT_NS,3,151,8.556,wav16k/STT_NS0022_0116_944316_to_952872.wav,དངུལ་མང་པོ་ཞིག་བཀོག་གི་འདུག་བ་ད། རེད་རེད། དངོས་གནས་དོ་སྣང་མང་པོ་བྱུང་སོང་། དམིགས་བསལ་གི་ད་སྙིང་རྗེ་མི་ག་རེ་ལབ་དགོས་རེད། ང་ཚོས་དངུལ་སློང་བསྡད་མྱི་དང་ཨེ་ནས་
STT_NS0022_0102_822519_to_831365,དྲན་པ་རྗེད་སོང་། ས་ཆ་འདི་ཞེད་སྣང་ཚ་བོ་ཡོད་རེད་ལབ་སོང་སྔོན་མ་གཅིག་ལ། འབྲི་བུ་བྲག་ཆེན་པོ། འོ་འོ་འདི་ཡིན་ས་རེད། འོ་འདི་ལ་འགྲོ་མྱོང་ཡོད་ད་ར་འདི་ལ་སྔོན་མ་སྔོན་མ་དུས་ཚོད་ཡིན་དཔེ་ཞེད་སྣང་ཚ་བོ་ཨ་སེམས་ཅན།  ,dran pa rjed song /_sa cha 'di zhed snang tsha bo yod red lab song sngon ma gcig la/_'bri bu brag chen po/_'o 'o 'di yin sa red/_'o 'di la 'gro myong yod da ra 'di la sngon ma sngon ma dus tshod yin dpe zhed snang tsha bo a sems can/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0102_822519_to_831365.wav,STT_NS,3,197,8.846,wav16k/STT_NS0022_0102_822519_to_831365.wav,དྲན་པོ་བརྗེད་སོང་། ས་ཆ་ཏོག་ཙི་ཞེད་སྣང་ཚ་བོ་ཡོད་རེད་ལབ་སོང་ སྔོན་མ་ད་ལེད་ཚང་ཆེན་པོ། ཨོ་འོ་དེ་ཡིན་ས་རེད། འོ་དེ་ལ་འགྲོ་མྱོང་ཡོད་ད་རེད་བ། དེ་ལ་སྔོན་མ་སྔོན་མ་དུས་ཚོད་ཡི་ན་དཔེ་ཞེད་སྣང་ཚ་བོ་སེམས་ཅན།
STT_NS0022_0103_831365_to_840211,དཔེ་ཐ་ང་ཚོ་གི་འདི་ཡོད་བ། སེམས་ཅན་དཔེ་ཞེད་སྣང་ཚ་བོ་ཡོད་རེད་ལབ་ཀི་འདུག་བ། འོ་ཧཱོ། འདི་དུས་ཙམ་མི་འདི་ཚོ་ཏིག་སེ་ཞེ་དྲགས་འགྲོ་འཕོད་ཀྱི་མ་རེད་ལབ་ས། འོ་ཧཱོ། ཐ་ཕྱིས་སུ་དེང་སང་ལྟ་མི་ཞེ་བོ་ཅིག་འགྲོ་ཡི་འདུག་བ་ད་མི་མང་པོ་གཅིག་ད། འོ་ཧཱོ།  ,dpe tha nga tsho gi 'di yod ba/_sems can dpe zhed snang tsha bo yod red lab ki 'dug ba/_'o hA+o/_'di dus tsam mi 'di tsho tig se zhe drags 'gro 'phod kyi ma red lab sa/_'o hA+o/_tha phyis su deng sang lta mi zhe bo cig 'gro yi 'dug ba da mi mang po gcig da/_'o hA+o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0103_831365_to_840211.wav,STT_NS,3,226,8.846,wav16k/STT_NS0022_0103_831365_to_840211.wav,ད་ང་ཚོ་གི་འདི་ཡོད་བ། སེམས་ཅན་དཔེ་ཞེད་སྣང་ཚ་བོ་ཡོད་རེད་ལབ་ཀི་འདུག་བ། དེ་དུས་ཙམ་པ་མི་དེ་ཚོ་ཏོག་ཙི་ཞེ་དྲག་འགྲོ་ཕོད་ཀི་མ་རེད་ལབ་སོང་བ། ད་ཕྱིས་སུ་དེང་སང་ད་མི་ཞེ་བོ་ཅིག་འགྲོ་གི་འདུག་བ ད་མི་མང་པོ་ཅིག་ད་
STT_NS0022_0104_840211_to_849057,འགྲོ་འགྲོ་ཉིད་ཀྱི་ད་སེམས་ཅན་འདི་ཚོ་ཉེ་འགྲམ་ལ་ཡོད་ས་མ་རེད། ཐག་རིང་པོ་འགྲོ་དགོས་ཨེ་འདྲས་ཡོད་ས་རེད་ཡོད་བ། ཨ་ལས། འོ་འདྲས་འགྲོ་མྱོང་འདུག་བ་ཨ་ནི་ཨ་ད་ག་ནང་བཞིན་འདི་ཚོ་ལ་འགྲོ་མྱོང་ཡོད། ང་ཚོ་ད་ལྟ།  ,'gro 'gro nyid kyi da sems can 'di tsho nye 'gram la yod sa ma red/_thag ring po 'gro dgos e 'dras yod sa red yod ba/_a las/_'o 'dras 'gro myong 'dug ba a ni a da ga nang bzhin 'di tsho la 'gro myong yod/_nga tsho da lta/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0104_840211_to_849057.wav,STT_NS,3,189,8.846,wav16k/STT_NS0022_0104_840211_to_849057.wav,འགྲོ་རོགས་ཉིས་ཀི་ད་སེམས་ཅན་དེ་ཚ་ཉེ་འགྲམ་ལ་ཡ་ད་ས་མ་རེད། ཐག་རིང་པོ་འགྲོ་དས་ཨེ་འདྲའི་ཡིན་ས་རེད་ཡོད་བ། ཨོཨེ་འདྲའི་འགྲོ་མྱོང་འདུག་བ། ཨེ་ནས་ད་ག་ནང་བཞིན་དེ་ཚོ་ལ་འགྲོ་མྱོང་ཡོད། ཨུང་ཚོ་ད་ལྟ།
STT_NS0022_0105_849664_to_859010,ཨ་ག་རེད། ཨ་ནཱ་ལེནྡ་ ནཱ་ལེནྡྲ་ཨ། འོ་ནཱ་ལེན་དྲ། འོ་ནཱ་ལེནྡྲེ་དང་འོ་འདི་ཚོ་འགྲོ་ཉུང་ཡོད། ནཱ་ལེནྡྲ་འགྲོ་དུས་ཙམ་ད་ང་ཚོ་སྔོན་མ་གི་ནང་ང་ཚོས་ད་ལྟ་བོད།  ,a ga red/_a nA len+da _nA len+d+ra a/_'o nA len dra/_'o nA len+d+re dang 'o 'di tsho 'gro nyung yod/_nA len+d+ra 'gro dus tsam da nga tsho sngon ma gi nang nga tshos da lta bod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0105_849664_to_859010.wav,STT_NS,3,144,9.346,wav16k/STT_NS0022_0105_849664_to_859010.wav,ཨ་ག་རེ། ན་ལེནྡ་ན་ལེནྡ་རེད་བ། ན་ལེན། ན་ལེནྡ་དང་འོ་དེ་ཚོ་འགྲོ་མྱོང་ཡོད། ན་ལེན་ྲ་འགྲོ་དུས་ཙ་པད་ང་ཚོ་སྔོན་མ་གི་ང་ལང་ཚོ་ད་ལྟ་བོད་ྱིག
STT_NS0022_0106_859010_to_868355,བོད་རྒྱུད་ནང་བསྟན་ད་དེ་ནས་དར་རེད་ལབ་རེད་ད། ད་དེ་དུས་ས་སྔོན་མ་ད་ང་ཚོ་དམག་ཞེ་བོ་བྱུང་རེད་ལབ་སོང་། དེ་དུས་ཚང་མ་གཏོར་བཤིག་འགྲོ་རེད་ལབ་སོང་། དེ་ནས་ད་དངོས་སུ་ནང་ལོ་ལ་ག་རེ་མཇལ་ཡས་འདྲ་བོ།  ,bod rgyud nang bstan da de nas dar red lab red da/_da de dus sa sngon ma da nga tsho dmag zhe bo byung red lab song /_de dus tshang ma gtor bshig 'gro red lab song /_de nas da dngos su nang lo la ga re mjal yas 'dra bo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0106_859010_to_868355.wav,STT_NS,3,181,9.345,wav16k/STT_NS0022_0106_859010_to_868355.wav,རྒྱུ་ནང་ྱུ་ད་དེ་ནས་དར་རེད་ལབ་ཡ་རེད་ད། ད་དེ་དུས་གསའ་སྔོན་མ་ད་ང་ཚོ་དམག་ཞེ་བོ་བྱུང་ར་ལབ་སོང་། དེ་དུས་ཚམ་པ་ཚང་མ་གཏོར་བཞིག་འགྲོ་རེད་ལབ་སོང་། ད་ལྟ་ད་དངོས་སུ་ད་ནང་ལོགས་ལ་ག་རེ་མཇལ་ཡ་འདྲ་བོ་ཨེ་འདྲ
STT_NS0022_0107_868355_to_877700,ཨེ་འདྲེ་དམིགས་བསལ་མིན་འདུག ཡིན་ནས་དའདིའི་ནང་ལོག་ལ་ད་ཏིག་སེ་སྔོན་མ་ཨེ་འདྲེ་བྱུང་རེད་འདྲ་བོ་དང་། ཁང་པ་འདྲ་བོ་བཟོ་ལྟ་དང་། ཨེ་འདྲེ་མ་གཏོགས་ཞེ་བོ་ཞེ་བོ་ཨེ་འདྲེ་མིན་འདུག་ཡང། འདི་ནང་ལོ་ལ་ནཱ་ལེནྡྲ་ནང་ལོག་ལ་ཨ་འདི་འདུག་བ།  ,e 'dre dmigs bsal min 'dug_yin nas da'adi'i nang log la da tig se sngon ma e 'dre byung red 'dra bo dang /_khang pa 'dra bo bzo lta dang /_e 'dre ma gtogs zhe bo zhe bo e 'dre min 'dug yang/_'di nang lo la nA len+d+ra nang log la a 'di 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0022_0107_868355_to_877700.wav,STT_NS,3,213,9.345,wav16k/STT_NS0022_0107_868355_to_877700.wav,ཨེ་འདྲའི་དམིགས་བསལ་མི་འདུག་ག། ཡིན་ནས་དེའི་ནང་ལོགས་ལ་ད་ཏོག་ཙི་སྔོན་མ་ཨེ་འདྲའི་བྱུང་རེད་འདྲ་བོ་ད། ཁང་པ་འདྲ་བོ་བཟོ་ལྟ་དང་ ཨེ་འདྲའི་མ་གཏོགས་ཞེ་བོ་ཞེ་བོ་ཨེ་འདྲའི་མི་འདུག་བ་ཡང་། དེའི་ནང་ལོགས་ལ་ན་ལེན་ྡྲའི་ནང་ལོགས་ལ་ཡང་འདི་འདུག་བ།
